"Holiday","Holiday"
"Title","Title"
"Year","Year"
"Month","Month"
"Day","Day"
"ID","ID"
"Action","Action"
"View","View"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Holidays","Holidays"
"Add Holiday","Add Holiday"
"Delivery Date","Delivery Date"
"Item does not exist","Item does not exist"
"Please select holiday(s)","Please select holiday(s)"
"Total of %d record(s) were successfully deleted","Total of %d record(s) were successfully deleted"
"Enabled","Enabled"
"Disable Delivery On","Disable Delivery On"
"Minimal Delivery Interval (days)","Minimal Delivery Interval (days)"
"Include Weekends and Holidays in the Delivery Interval","Include Only Business Days in the Delivery Interval"
"Disable Same Day Delivery After","Disable Same Day Delivery After"
"All","All"
"Please provide %s","Please provide %s"
"Please provide a valid date in %s format","Please provide a valid date in %s format"
"Delivery is not available on %s","Delivery is not available on %s"
"Preferred Delivery Date","Preferred Delivery Date"
Show Comment Field,Show Comment Field
Date Format,Date Format
